Year	Votes	Incumbent	Growth	Inflation
1916	51.68	1	2.229	4.252
1920	36.12	0	-11.463	16.535
1924	58.24	1	-3.872	5.161
1928	58.82	0	4.623	0.183
1932	40.84	1	-15.574	6.657
1936	62.46	1	12.625	3.387
1940	55	1	2.42	0.553
1944	53.77	1	2.91	6.432
1948	52.37	1	3.105	10.369
1952	44.6	0	0.91	2.256
1956	57.76	1	-1.479	2.132
1960	49.91	0	0.02	2.299
1964	61.34	1	4.95	1.201
1968	49.6	0	4.712	3.16
1972	61.79	1	5.716	4.762
1976	48.95	0	3.411	7.604
1980	44.7	1	-3.512	7.947
1984	59.17	1	5.722	5.296
1988	53.9	0	2.174	3.392
1992	46.55	1	1.478	3.834
1996	54.6	1	2	2.3
