WAGE	EDUC	FEMALE	MARRIED	EXPER	BLKHISP
11	8	0	1	42	0
20.4	17	0	0	3	0
9.1	13	0	0	16	1
13.75	14	0	1	21	0
24.98	16	0	1	18	0
7.7	13	1	0	8	0
10	10	1	1	25	0
3.4	8	1	0	49	0
7.38	14	1	0	15	1
22	14	0	1	15	0
6.67	16	1	0	10	0
12	14	1	1	10	0
9.25	12	0	0	19	0
5	12	0	0	4	1
4.13	12	1	1	4	0
3.65	11	0	0	16	0
7	12	1	1	10	0
22.83	18	1	0	37	0
5	12	1	1	14	0
22.5	18	0	1	14	0
4.5	12	1	0	3	0
6	12	0	1	9	0
6.75	10	0	1	13	0
8.75	12	0	0	9	0
3.35	16	1	1	14	1
6	13	0	0	31	0
7.3	12	0	1	37	0
4.25	12	1	1	20	0
6.25	18	0	1	14	0
5.75	12	1	1	15	0
3.35	11	0	0	3	1
7.45	12	1	0	25	0
3.43	12	0	0	2	1
4.35	8	1	1	37	1
5.85	18	0	1	12	0
8.5	12	1	0	16	0
7.5	12	1	1	27	1
3.35	12	1	1	10	1
4.22	8	1	1	39	0
5	12	1	1	39	0
9.6	12	1	1	14	0
12.57	12	0	1	12	0
12.5	13	1	1	16	0
8.89	16	1	1	22	0
6.25	9	0	0	30	0
