STATE	ABORTION	RELIGION	PRICE	LAWS	FUNDS	EDUC	INCOME	PICKET
ALABAMA	18.2	36.4	272	1	0	66.9	16522	89
ALASKA	16.5	18.1	461	0	1	86.6	22067	0
ARIZONA	24.1	29.3	249	0	0	78.7	17401	55
ARKANSAS	13.5	30	248	1	0	66.3	15635	33
CALIFORNIA	42.1	28.1	293	0	1	76.2	21348	36
COLORADO	23.6	21.2	309	0	0	84.4	20666	43
CONNECTICUT	26.2	43.4	374	0	1	79.2	27150	60
DELEWARE	35.2	19.8	247	0	0	77.5	20724	0
FLORIDA	30	22.6	271	0	0	74.4	19711	37
GEORGIA	24	28.6	319	1	0	70.9	18549	50
HAWAII	46	26.7	422	0	1	80.1	22200	0
IDAHO	7.2	36.8	303	0	0	79.7	16649	50
ILLINOIS	25.4	37.1	272	0	0	76.2	21774	47
INDIANA	12	16.5	288	1	0	75.6	18366	67
IOWA	11.4	29.2	280	0	0	80.1	18275	50
KANSAS	22.4	21.3	340	1	0	81.3	19387	67
KENTUCKY	11.4	36.7	320	0	0	64.6	16528	75
LOUISIANA	13.4	50.9	228	1	0	68.3	15931	60
MAINE	14.7	22.4	328	0	0	78.8	18163	0
MARYLAND	26.4	22.8	264	0	0	78.4	23268	50
MASSACHUSETTS	28.4	50.1	330	1	1	80	23676	70
MICHIGAN	25.2	28	352	1	0	76.8	19586	28
MINNESOTA	15.6	44.6	270	1	0	82.4	20503	67
MISSISSIPPI	12.4	38	256	0	0	64.3	14082	100
MISSOURI	11.6	32.2	348	1	0	66.9	18970	50
MONTANA	18.2	26.9	329	0	0	81	16227	50
NEBRASKA	15.7	30.9	279	1	0	81.8	18974	100
NEVADA	44.2	23.5	275	0	0	78.8	21648	33
NEW HAMPSHIRE	14.6	27.8	372	0	0	82.2	21933	50
NEW JERSEY	31	42.7	316	0	1	76.7	26091	64
NEW MEXICO	17.7	44.7	332	0	0	75.1	15458	20
NEW YORK	46.2	41.8	338	0	1	74.8	24095	60
NORTH CAROLINA	22.4	25.9	291	0	1	70	17863	54
NORTH DAKOTA	10.7	56.3	370	1	0	76.7	17048	100
OHIO	19.5	24.7	298	1	0	75.7	19040	60
OKLAHOMA	12.5	36.3	281	0	0	74.6	16420	75
OREGON	23.9	15.8	248	0	1	81.5	18605	50
PENNSYLVANIA	18.6	37	296	0	0	74.7	20642	82
RHODE ISLAND	30	63.9	322	1	0	72	20276	50
SOUTH CAROLINA	14.2	30.3	292	1	0	68.3	16212	57
SOUTH DAKOTA	6.8	38.9	400	0	0	66.3	17198	100
TENNESSEE	16.2	30.9	300	0	0	67.1	17674	43
TEXAS	23.1	41.8	257	0	0	72.1	18437	56
UTAH	9.3	76.7	298	1	0	85.1	15573	0
VERMONT	21.2	26.6	276	0	1	80.8	18792	50
VIRGINIA	22.7	19.9	267	0	0	75.2	20883	38
WASHINGTON	27.7	17.8	270	0	1	83.8	21289	24
WEST VIRGINIA	7.7	9.8	251	0	1	66	15598	50
WISCONSIN	13.6	41.6	276	1	0	78.6	19038	67
WYOMING	4.3	29.3	378	1	0	83	18631	100
